contract_id,instrument_id,is_option,option_type,expiry_date,strike,root,multiplier,exchange_code
5d8e7d44-1857-5a6f-8421-de48abc545ba,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-25,5030.0,SPX,100.0,
1d6880cd-7fe2-5f76-aae4-bcce27e026cc,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-24,5080.0,SPX,100.0,
bb623fef-d61a-5878-8001-33c21ae143d3,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-24,5070.0,SPX,100.0,
9f30255b-e261-5857-ad56-776bf3c5b377,4ffa4e6f-7bfc-54f2-b93d-6a2195fb9c2a,True,PUT,2024-05-03,460.0,META,100.0,
fdc0bafe-01b3-5642-ae4e-7244318f8251,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-23,5040.0,SPX,100.0,
3f300082-9350-563d-9379-ea9e7e42d73a,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-23,5060.0,SPX,100.0,
5fdd7181-1f74-53cd-a975-5d97567b3318,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-22,5020.0,SPX,100.0,
140d4796-44a9-53b2-8579-06c392848ab9,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-22,5020.0,SPX,100.0,
8a224eb2-bd67-5edc-9035-f2e939afa5f8,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-04-19,810.0,NVDA,100.0,
e302fd2d-c8cf-568b-ad11-198776955005,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,CALL,2024-04-19,5050.0,/ES,50.0,
624fd633-9340-5139-b45b-a78e88ddc053,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-04-19,830.0,NVDA,100.0,
8c9ce98f-a39c-5d3b-b746-b2a4dfb53112,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,CALL,2024-04-19,5080.0,/ES,50.0,
cac068b6-21d2-54f2-928b-03df384be8d5,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-04-19,845.0,NVDA,100.0,
3271db37-1056-58ac-b301-2bd9d3d348e9,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-04-19,830.0,NVDA,100.0,
f38368b9-0834-5a0d-ba0d-30c00f873df0,8c57f5cf-512b-5768-acb2-16ecd24e0d31,True,PUT,2024-02-23,436.0,QQQ,100.0,
b3c53104-b01f-596e-9212-0fc1aa990800,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-02-23,5055.0,SPX,100.0,
0b1dff35-7b75-5869-8941-cf86eb8d7dff,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16400.0,/NQ,20.0,
